Indicator Name
Adjusted net national income (constant 2010 US$)
Adjusted net national income per capita (annual % growth)
Adjusted net national income per capita (constant 2010 US$)
Agricultural methane emissions (thousand metric tons of CO2 equivalent)
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)
CO2 emissions (metric tons per capita)
CO2 emissions from transport (% of total fuel combustion)
Combustible renewables and waste (% of total energy)
"Domestic general government health expenditure per capita, PPP (current international $)"
"Domestic private health expenditure per capita, PPP (current international $)"
Energy related methane emissions (% of total)
GDP (constant 2010 US$)
GDP growth (annual %)
Net migration
Other greenhouse gas emissions (% change from 1990)
"Plant species (higher), threatened"
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
Population density (people per sq. km of land area)
Population growth (annual %)
"Population, total"
Renewable energy consumption (% of total final energy consumption)
Total greenhouse gas emissions (kt of CO2 equivalent)
Urban population
Urban population growth (annual %)
Electric power consumption (kWh per capita)
