Country Name_population,Country Code,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2011_pm25,2012_pm25,2013_pm25,2014_pm25,2015_pm25,2016_pm25,2017_pm25,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,2016_gdp,2017_gdp
Azerbaijan,AZE,9173082.0,9295784.0,9416801.0,9535079.0,9649341.0,9757812.0,9854033.0,23.6298688,22.18081034,22.27878046,20.71006751,21.41412281,20.20815664,19.92866362,52937578302.0,54102205125.0,57238335961.0,58383102680.0,59025316699.0,57195531762.0,57252727187.0
Hungary,HUN,9971727.0,9920362.0,9893082.0,9866468.0,9843028.0,9814023.0,9787966.0,19.36069,17.52996008,17.231831200000002,16.31532793,17.23213014,15.88535024,15.92604819,133000000000.0,131000000000.0,134000000000.0,139000000000.0,144000000000.0,148000000000.0,154000000000.0
Jordan,JOR,7574943.0,7992573.0,8413464.0,8809306.0,9159302.0,9455802.0,9702353.0,33.01726148,33.01693524,33.41761072,33.20542058,34.30544926,33.17661668,33.00608118,27108947011.0,27827651432.0,28614830798.0,29500840468.0,30206410880.0,30811666897.0,31418663971.0
Belarus,BLR,9473172.0,9464495.0,9465997.0,9474511.0,9489616.0,9501534.0,9498264.0,22.91114578,21.64637226,20.59045954,19.76605366,20.07627636,18.87823952,18.76557991,61820512466.0,62863508301.0,63494325276.0,64590481691.0,62116943621.0,60547592313.0,62013997099.0
Honduras,HND,8351600.0,8505646.0,8657785.0,8809216.0,8960829.0,9112867.0,9265067.0,28.90074716,27.44714935,27.68413611,23.16154008,22.40619622,21.08695992,20.62885065,16446892853.0,17125933704.0,17604014377.0,18142359319.0,18839040425.0,19545909275.0,20481239263.0
Tajikistan,TJK,7815949.0,7995062.0,8177809.0,8362745.0,8548651.0,8734951.0,8921343.0,54.319961,48.98960355,49.55313763,46.48082923,47.79297353,43.37770931,46.15218537,6059735880.0,6513378379.0,6995373534.0,7464481118.0,7912968588.0,8456824084.0,9101022077.0
Austria,AUT,8391643.0,8429991.0,8479823.0,8546356.0,8642699.0,8736668.0,8797566.0,15.57337093,14.28233205,14.08161348,13.37922794,13.54109517,12.59681605,12.47796673,403000000000.0,406000000000.0,406000000000.0,409000000000.0,414000000000.0,422000000000.0,433000000000.0
Israel,ISR,7765800.0,7910500.0,8059500.0,8215700.0,8380100.0,8546000.0,8713300.0,23.90468673,23.03884904,22.94633022,22.05914688,22.7797827,20.76570151,21.38110224,245000000000.0,251000000000.0,261000000000.0,271000000000.0,278000000000.0,289000000000.0,299000000000.0
Switzerland,CHE,7912398.0,7996861.0,8089346.0,8188649.0,8282396.0,8373338.0,8450851.0,13.04922122,12.26138801,11.82005499,11.38910719,11.16525468,10.34263047,10.303100099999998,594000000000.0,600000000000.0,611000000000.0,626000000000.0,634000000000.0,644000000000.0,655000000000.0
Papua New Guinea,PNG,7269348.0,7430836.0,7592865.0,7755785.0,7919825.0,8084991.0,8251162.0,15.51903383,14.60653316,13.95262793,13.24529823,13.2617261,12.61505599,12.29441826,14408526151.0,15078295061.0,15655783399.0,18070132678.0,19027666647.0,19330660418.0,19822767444.0
Togo,TGO,6679282.0,6859482.0,7042948.0,7228915.0,7416802.0,7606374.0,7797694.0,30.85480627,31.36920959,29.56592775,28.93629146,38.35682101,37.05110734,35.73133561,3645225926.0,3883751541.0,4121139759.0,4365135489.0,4615819478.0,4851225904.0,5064680352.0
Sierra Leone,SLE,6611692.0,6766103.0,6922079.0,7079162.0,7237025.0,7396190.0,7557212.0,18.74315581,20.10129417,18.43566679,17.69823222,22.52859793,21.34393233,21.62594668,2740829819.0,3156936273.0,3810919876.0,3984574820.0,3163801389.0,3355384560.0,3496685933.0
"Hong Kong SAR, China",HKG,7071600.0,7150100.0,7178900.0,7229500.0,7291300.0,7336600.0,7391700.0,,,,,,,,240000000000.0,244000000000.0,251000000000.0,258000000000.0,264000000000.0,270000000000.0,280000000000.0
Bulgaria,BGR,7348328.0,7305888.0,7265115.0,7223938.0,7177991.0,7127822.0,7075947.0,24.30032702,22.64465578,20.99963709,20.74356996,20.77642742,19.28301303,19.14913234,51579193177.0,51595167186.0,51850006769.0,52802761608.0,54635643698.0,56786516854.0,58950791932.0
Serbia,SRB,7234099.0,7199077.0,7164132.0,7130576.0,7095383.0,7058322.0,7020858.0,31.03402776,28.5847484,27.43078591,26.49207255,26.95437789,24.78062162,24.72635819,40013381123.0,39607137114.0,40625727368.0,39881747973.0,40183938020.0,41308012850.0,42079410618.0
Lao PDR,LAO,6333487.0,6415169.0,6494557.0,6576397.0,6663967.0,6758353.0,6858160.0,29.66966026,30.29741812,30.25948938,28.39017177,26.13948876,25.80101805,25.10953834,7700771123.0,8318842593.0,8986537875.0,9670589853.0,10373602257.0,11102149875.0,11867393084.0
Paraguay,PRY,6293783.0,6379219.0,6465740.0,6552584.0,6639119.0,6725308.0,6811297.0,14.59811855,13.94830615,12.92656928,12.6410755,13.03807402,11.64932248,11.90908085,28372405344.0,28219616269.0,30595001138.0,32082190602.0,33070442062.0,34496738802.0,36294202789.0
El Salvador,SLV,6192560.0,6221246.0,6250777.0,6281189.0,6312478.0,6344722.0,6377853.0,33.62826513,30.93397435,30.75988157,27.50259084,26.47473092,24.73648611,24.47229229,19151123032.0,19690049938.0,20157726890.0,20556700057.0,21045462141.0,21588556595.0,22089971818.0
Libya,LBY,6193501.0,6198258.0,6195970.0,6204108.0,6234955.0,6293253.0,6374616.0,44.63173396,44.9113635,49.2794823,47.50123391,51.53264014,52.1292063,54.25468179,28357141373.0,63275999127.0,54670463262.0,41549552060.0,37867414402.0,36808842613.0,46627921660.0
Nicaragua,NIC,5807820.0,5877108.0,5945747.0,6013997.0,6082035.0,6149928.0,6217581.0,22.47952015,22.35271161,21.92907575,19.38772134,18.56913277,17.7277291,17.61418045,9311876958.0,9916789200.0,10405398732.0,10903344947.0,11423282813.0,11955466051.0,12536632611.0
Kyrgyz Republic,KGZ,5514600.0,5607200.0,5719600.0,5835500.0,5956900.0,6079500.0,6198200.0,27.51760207,25.48983252,25.44035534,23.29819153,24.34473551,23.1955558,22.73776806,5079922900.0,5075444938.0,5629453576.0,5855984963.0,6082952723.0,6346700788.0,6637610602.0
Lebanon,LBN,4588368.0,4916404.0,5276102.0,5603279.0,5851479.0,6006668.0,6082357.0,30.06910747,30.10805188,30.58809767,30.44456692,31.22929528,30.17186865,30.62111051,38772202673.0,39857674715.0,40914960465.0,41720605030.0,41822123314.0,42550138576.0,43200771504.0
