Country Name_population,Country Code,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2011_pm25,2012_pm25,2013_pm25,2014_pm25,2015_pm25,2016_pm25,2017_pm25,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,2016_gdp,2017_gdp
Iraq,IRQ,31727053.0,32776571.0,33883145.0,35006080.0,36115649.0,37202572.0,38274618.0,66.36260979,66.84207687,63.80269591,56.56703027,66.26503791,63.95479607,61.63623571,149000000000.0,170000000000.0,183000000000.0,184000000000.0,188000000000.0,213000000000.0,209000000000.0
Poland,POL,38063255.0,38063164.0,38040196.0,38011735.0,37986412.0,37970087.0,37974826.0,26.37250707,24.26397739,22.9287237,22.21089179,22.69131805,20.9757679,20.87782222,503000000000.0,511000000000.0,519000000000.0,536000000000.0,556000000000.0,573000000000.0,601000000000.0
Canada,CAN,34342780.0,34750545.0,35152370.0,35535348.0,35832513.0,36264604.0,36708083.0,8.62446106,8.107410495,7.791636125,7.4284198639999985,7.151582145,6.549074761,6.428383133,1660000000000.0,1690000000000.0,1740000000000.0,1780000000000.0,1800000000000.0,1830000000000.0,1880000000000.0
Morocco,MAR,32858823.0,33333789.0,33824769.0,34318082.0,34803322.0,35276786.0,35739580.0,29.26656426,27.79028358,29.25951913,29.94944999,31.44008691,32.93537423,32.59354146,98106615022.0,101000000000.0,106000000000.0,108000000000.0,113000000000.0,115000000000.0,119000000000.0
Afghanistan,AFG,29708599.0,30696958.0,31731688.0,32758020.0,33736494.0,34656032.0,35530081.0,66.83572711,66.02317421,61.36674452,59.01033025,61.2526558,56.28704672,56.91080835,15924179998.0,17954877147.0,18960483970.0,19477070578.0,19759744157.0,20206376461.0,20744935406.0
Saudi Arabia,SAU,28238020.0,29086357.0,29944476.0,30776722.0,31557144.0,32275687.0,32938213.0,82.41903191,85.51330311,83.63099223,75.60844062,97.432289,84.46577505,87.94544668,581000000000.0,612000000000.0,629000000000.0,652000000000.0,679000000000.0,690000000000.0,684000000000.0
Uzbekistan,UZB,29339400.0,29774500.0,30243200.0,30757700.0,31298900.0,31847900.0,32387200.0,33.99383696,31.6621061,30.80519356,28.900036100000005,30.3943319,27.814347100000006,28.4559012,42597390916.0,46090376971.0,49777607129.0,53656538301.0,57949061364.0,62469088152.0,65779949823.0
Peru,PER,29759989.0,30158966.0,30565716.0,30973354.0,31376671.0,31773839.0,32165485.0,31.57116569,30.49445583,29.74308641,27.5826726,26.03726793,25.54274604,24.78672805,157000000000.0,166000000000.0,176000000000.0,180000000000.0,186000000000.0,194000000000.0,199000000000.0
"Venezuela, RB",VEN,29463291.0,29893080.0,30317848.0,30738378.0,31155134.0,31568179.0,31977065.0,22.03310792,21.24572753,20.42894973,19.10406153,18.30300574,16.76799384,17.00855357,410000000000.0,433000000000.0,438000000000.0,421000000000.0,,,
Malaysia,MYS,28635128.0,29170456.0,29706724.0,30228017.0,30723155.0,31187265.0,31624264.0,19.20260869,19.1822225,17.55444704,16.92315529,17.44091023,15.75128619,16.03580871,269000000000.0,283000000000.0,297000000000.0,314000000000.0,330000000000.0,344000000000.0,365000000000.0
