Country,2010,2011,2012,2013,2014,2015,2016,2017
Laos,1.4980000000000002,1.4669,1.5147,1.4015,1.6731,1.745,1.8985,1.9580000000000002
Latvia,8.647,7.8827,7.5839,7.4236,7.2388,7.3337,7.2636,7.1668
Lebanon,20.0152,20.2641,22.3688,22.1964,23.7038,21.2692,19.7574,19.5468
Lesotho,2.2753,2.3303,2.4036,2.4329,2.4659,2.4847,2.4619,2.8238
Liberia,0.78314,0.8809799999999999,1.0114,0.93545,0.9017200000000001,0.9128799999999999,0.96903,1.0778
Libya,61.1216,39.2646,52.4087,56.0023,56.7279,52.1646,51.3104,53.3874
Liechtenstein,0.19080999999999998,0.17678,0.18532,0.19254000000000002,0.1611,0.15889,0.14836,0.16125
Lithuania,13.7126,14.0666,14.1337,13.1063,12.8747,13.1416,13.1575,13.3939
Luxembourg,11.1543,11.0504,10.7881,10.2333,9.7575,9.2597,9.003,9.2947
Macao,1.4069999999999998,1.4473,1.3117,1.1798,1.2824,1.4145,1.4222,1.5122
Macedonia (Republic of),8.5957,9.3908,8.9585,7.841,7.5039,7.2575,7.144,7.2515
Madagascar,1.9383,2.3146,2.6776,3.0895,3.0472,3.0474,3.0443,3.1821
Malawi,1.1216,1.156,1.0759,1.1885,1.2254,1.2752,1.3155,1.3675
Malaysia,215.9923,217.6792,215.8952,233.8285,240.0551,245.0976,251.0896,254.5759
Maldives,0.93432,0.98562,1.1102,1.0919,1.3337,1.4554,1.4721,1.5718
Mali,0.9636299999999999,1.0442,0.9929399999999999,1.0259,1.4106,1.4285,1.5291,1.7238
Malta,2.5902,2.6553,2.8105,2.4739,2.463,1.7578,1.4203,1.4445
Marshall Islands,0.10259000000000001,0.10259000000000001,0.10259000000000001,0.10259000000000001,0.10259000000000001,0.11195999999999999,0.11324000000000001,0.12090999999999999
Martinique,,,,,,,,
Mauritania,1.9602,2.1105,2.3303,2.323,2.323,2.3525,2.5180000000000002,2.8387
Mauritius,3.9132,3.9168,3.9644,4.067,4.2246,4.1619,4.0866,4.2792
Mexico,466.0907,486.5032,498.6585,492.5597,482.5279,477.2737,504.9799,490.2946
Micronesia (Federated States of),0.11358,0.12090999999999999,0.13557,0.1429,0.15022,0.16394,0.16580999999999999,0.17705
Moldova,4.8309,4.9633,4.7657,4.8994,4.7442,4.9487,5.2004,5.0936
Mongolia,13.82,21.4265,26.1897,38.6893,20.7997,20.3564,28.680999999999997,30.3907
Montenegro,2.5795,2.5685,2.334,2.246,2.2094,2.4392,2.5735,2.6278
Montserrat,0.065952,0.040304,0.043968,0.051296,0.047632,0.049726,0.050691,0.050682
Morocco,56.2,57.6974,62.4833,58.8304,59.6248,61.0432,61.2857,62.7253
Mozambique,2.6339,3.1074,2.9808,3.8738,8.2536,9.0184,9.8064,10.2744
Myanmar,12.4426,14.2215,10.9502,12.72,21.4603,23.4407,24.0176,25.3332
Namibia,3.0961,2.7648,3.3641,2.6012,3.7234,3.9185,3.9988,4.0653
Nauru,0.043968,0.040304,0.040304,0.043968,0.047632,0.05198,0.052575,0.056136
Nepal,4.894,5.2765,5.5217,6.2847,7.662000000000001,7.5854,8.526,9.0282
Netherlands,182.1796,169.1187,164.9487,164.7573,157.3471,165.0299,165.5221,164.0459
New Caledonia,3.5206,3.628,3.6122,4.2256,4.2749,4.4491,5.2328,5.5645
New Zealand,35.0107,34.3288,35.9693,35.2145,35.6104,35.8371,34.4629,36.0139
Nicaragua,4.468999999999999,4.8017,4.5488,4.476,4.7812,5.0686,5.2998,5.4229
Niger,1.1692,1.3178,1.8564,1.935,2.1227,2.0894,2.2345,2.4851
Nigeria,90.3154,94.2254,96.5668,95.8743,93.9854,103.8245,101.5718,107.3009
Niue,0.003664,0.007328,0.007328,0.007328,0.010992,0.011995,0.012133,0.012955000000000001
North Korea,65.6872,47.2381,48.2293,35.1567,39.6544,38.4039,54.9252,58.0196
Norway,45.8233,44.9826,44.5608,44.3027,43.9527,44.6637,44.0316,44.7899
Occupied Palestinian Territory,2.0335,2.246,2.1984,2.4366,2.8359,2.5541,2.3405,2.318
Oman,46.7501,53.2631,58.343,60.6572,60.3739,64.2211,64.4421,65.1864
Pakistan,157.7647,158.342,159.7276,160.5957,162.4276,172.09,187.4054,198.81
Palau,0.25282,0.25282,0.25282,0.25648000000000004,0.26014,0.28389000000000003,0.28714,0.30659000000000003
Panama,8.9994,9.9008,9.8519,10.45,8.5512,9.6078,10.196,10.059
Papua New Guinea,4.7364,5.3,5.0506,6.1581,6.2899,6.8769,6.9366,7.3875
Paraguay,5.026,5.2479,5.1935,5.3273,5.5935,5.6983,5.7886,5.8503
Peru,56.6779,48.6913,53.9376,55.9841,60.583999999999996,62.7495,66.3412,64.7815
Philippines,82.9329,83.5348,88.9271,95.7229,103.025,113.8232,119.2737,127.60799999999999
Poland,332.1307,331.6946,324.2166,319.9113,307.5551,310.6151,322.23400000000004,326.6045
Portugal,52.8818,51.7018,49.8779,48.0819,47.9558,52.1952,50.2748,54.8636
Qatar,71.9199,79.6476,93.2194,84.1525,106.8712,120.5472,118.6898,129.8033
Republic of South Sudan,1.3273,1.3038,1.33,1.4473,1.4949,1.6311,1.7619,1.8407
Runion,,,,,,,,
Romania,83.5513,89.3432,86.3209,76.8292,77.1605,77.7882,75.0517,79.9955
Russian Federation,1657.5607,1712.4248,1726.0995,1665.9886,1667.1107,1671.8951,1668.0699,1692.7948
Rwanda,0.57913,0.6521100000000001,0.72453,0.79038,0.82357,0.91689,0.9841799999999999,1.0247
Saint Helena,0.010992,0.010992,0.010992,0.010992,0.010992,0.011475,0.011698,0.011696
Saint Kitts and Nevis,0.21984,0.23083,0.21984,0.2235,0.23083,0.24098000000000003,0.24566,0.24561
Saint Lucia,0.40304,0.4067,0.4067,0.4067,0.4067,0.42458,0.43282,0.43273999999999996
Saint Pierre and Miquelon,0.069616,0.069616,0.069616,0.07328,0.07694400000000001,0.080326,0.081885,0.081871
Saint Vincent and the Grenadines,0.21984,0.19785999999999998,0.25282,0.20885,0.20885,0.21803000000000003,0.22225999999999999,0.22221999999999997
Samoa,0.18686,0.20152,0.19785999999999998,0.19785999999999998,0.19785999999999998,0.21591999999999997,0.21839,0.23318000000000003
Sao Tome and Principe,0.098928,0.10259000000000001,0.11358,0.11358,0.11358,0.11472,0.11752,0.11747
Saudi Arabia,517.7159,497.659,563.1795,540.8052,601.8961,620.883,631.5492,635.0111
Senegal,7.2801,7.8194,7.3629,7.8499,8.3058,8.1149,8.5416,9.3185
Serbia,45.6964,48.9571,43.7245,44.5458,37.1891,41.3375,43.351000000000006,45.0928
Seychelles,0.44333999999999996,0.34075,0.43968,0.40304,0.49463999999999997,0.53972,0.58297,0.60905
Sierra Leone,0.57525,0.74379,0.8610399999999999,1.0332,1.1395,1.1540000000000001,1.2352,1.3925
Singapore,55.5975,45.1844,36.3432,55.6305,56.3267,60.7206,62.8291,64.7651
Slovakia,38.6265,37.9328,36.1091,35.6339,33.5647,33.8975,33.9968,35.3862
Slovenia,16.3526,16.3406,15.8008,15.1671,13.5126,13.5991,14.3998,14.6096
Solomon Islands,0.19785999999999998,0.19785999999999998,0.19785999999999998,0.20152,0.20152,0.21991,0.22243000000000002,0.2375
Somalia,0.6118899999999999,0.60456,0.60822,0.60822,0.60822,0.66365,0.7168399999999999,0.7489
South Africa,472.4826,468.9272,467.0806,464.6191,488.0062,461.1166,468.0454,456.3252
South Korea,565.9609,588.4351,583.632,591.5397,586.548,590.5575,595.0737,616.0967
Spain,283.8775,284.5947,279.2713,252.6827,255.1957,271.7272,260.9859,281.422
Sri Lanka,13.0503,14.8866,15.7757,15.2533,18.1589,20.7134,21.9507,23.1384
Sudan,14.383,13.9939,14.2236,15.0763,14.9667,16.2969,17.4879,18.2059
Suriname,2.3954,1.9598,2.2444,1.9022,1.9758,1.9972,2.0308,2.0537
Swaziland,1.0369,1.0479,1.2055,1.0882,1.2018,1.2332,1.2412,1.3438
Sweden,52.9273,48.97,46.4036,44.769,43.2257,43.3856,42.568000000000005,41.5015
Switzerland,45.0451,40.9797,42.2509,43.1839,39.2378,38.7385,39.2049,40.074
Syria,60.7164,56.1393,43.7901,35.809,30.112,28.9252,27.9994,27.9145
Taiwan,267.8754,266.9359,256.0042,258.3049,262.1522,258.8876,263.4759,271.525
Tajikistan,2.5178,2.32,2.9063,3.4371,5.0607,5.4602,5.579,5.7114
Tanzania,6.8406,7.807,9.2381,10.912,11.2413,12.4535,13.6047,14.2305
Thailand,279.4285,275.836,293.6644,296.903,313.1865,320.574,324.8341,330.8396
Timor-Leste,0.2345,0.24549,0.29312,0.43968,0.46898999999999996,0.5118,0.51766,0.55273
Togo,2.5994,2.5076,2.2926,2.2361,2.2197,2.6403,2.7522,2.9911
Tonga,0.11725,0.10259000000000001,0.10626,0.11358,0.12090999999999999,0.13195,0.13346,0.1425
Trinidad and Tobago,47.8123,46.806999999999995,45.3105,46.4155,46.1433,45.685,41.0236,40.6972
Tunisia,27.1025,25.5243,26.3064,26.8655,27.892,26.4047,26.9077,28.1341
Turkey,319.5284,344.7455,354.1348,346.781,357.56,380.8581,402.8208,447.8972
Turkmenistan,57.1089,62.1823,64.5329,66.3741,68.0285,75.37899999999999,76.5633,72.7025
Turks and Caicos Islands,0.19053,0.19053,0.19785999999999998,0.19785999999999998,0.20518000000000003,0.2142,0.21836,0.21832
Tuvalu,0.007328,0.007328,0.010992,0.010992,0.010992,0.011995,0.012133,0.012955000000000001
Uganda,3.7652,4.0678,3.8607,4.6452,4.9877,5.3248,5.5714,5.7828
Ukraine,293.5188,307.0712,303.7051,296.0741,256.5836,223.5797,235.15599999999998,212.1163
United Arab Emirates,158.1647,162.7049,173.9237,168.21099999999998,208.8116,227.4772,233.4265,231.7735
United Kingdom,512.2143,469.8115,487.6708,477.7326,438.6912,422.6626,398.5509,384.7068
United States of America,5701.0758,5570.7066,5366.7303,5519.6126,5568.7593,5420.8041,5310.8614,5269.5295
Uruguay,6.2967,7.6538,8.5931,7.4898,6.6561,6.6511,6.7644,6.8403
Uzbekistan,103.5815,113.0454,115.1219,102.6549,104.4808,110.6693,97.9253,98.9989
Vanuatu,0.12090999999999999,0.1319,0.11358,0.10626,0.15389,0.16793,0.16985999999999998,0.18136
Venezuela,188.1793,175.8558,197.7298,182.8689,184.2366,176.8973,166.0964,159.5676
Vietnam,136.1131,145.0478,135.3753,140.4389,159.7124,184.5019,197.8016,198.8265
Wallis and Futuna Islands,0.029312,0.025648,0.025648,0.021984,0.021984,0.023991,0.024265000000000002,0.025908999999999998
Western Sahara,,,,,,,,
Yemen,23.1519,19.512999999999998,18.2383,24.9804,22.2626,20.3846,19.1354,18.9658
Zambia,2.5626,2.7926,3.4807,3.7561,4.2557,4.4014,4.5751,4.7461
Zimbabwe,7.681,9.4399,7.6146,11.5362,11.8663,10.9076,9.9326,10.3977
