Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
Hong Kong SAR,228.644,248.484,262.601,275.673,291.438,309.359,320.877,341.679,363.031
Hungary,130.923,140.782,127.857,135.221,140.083,123.074,126.008,139.761,155.703
Iceland,13.684,15.159,14.724,16.034,17.758,17.389,20.618,24.493,25.882
India,1708.46,1823.052,1827.637,1856.721,2039.127,2103.588,2289.754,2652.245,2716.746
Indonesia,755.256,892.59,919.002,916.646,891.051,860.741,932.066,1015.292,1022.454
Iran,482.384,577.214,389.199,396.408,423.409,375.404,404.445,430.709,452.275
Iraq,138.517,185.75,218.032,234.638,234.651,177.722,170.518,193.521,226.07
Ireland,222.533,238.088,225.14,238.708,259.2,290.858,301.968,331.597,372.695
Israel,233.733,261.717,257.435,292.917,310.008,300.471,319.378,353.268,369.843
Italy,2129.021,2278.376,2073.971,2131.159,2155.151,1833.195,1869.973,1946.888,2072.201
Jamaica,13.193,14.413,14.765,14.211,13.864,14.152,14.108,14.773,15.422
Japan,5700.099,6157.458,6203.212,5155.716,4850.414,4389.476,4926.668,4859.951,4971.929
Jordan,26.425,28.986,31.418,34.115,36.382,37.97,39.253,40.766,42.371
Kazakhstan,148.047,192.626,207.999,236.635,221.416,184.388,137.289,162.887,170.539
Kenya,40,41.672,50.422,55.125,61.547,64.236,70.876,79.212,89.205
Kiribati,0.157,0.182,0.19,0.186,0.18,0.171,0.178,0.186,0.189
"Korea, Republic of",1094.499,1202.464,1222.807,1305.605,1411.334,1382.764,1414.804,1530.751,1619.424
Kosovo,5.841,6.699,6.503,7.075,7.398,6.444,6.717,7.242,7.981
Kuwait,115.401,154.02,174.066,174.179,162.695,114.606,109.381,119.533,141.05
Kyrgyz Republic,4.794,6.198,6.604,7.335,7.467,6.678,6.813,7.703,8.093
Lao P.D.R.,7.504,8.963,10.195,11.974,13.266,14.363,15.916,17.069,18.434
Latvia,23.809,28.496,28.141,30.26,31.385,26.986,27.707,30.524,34.881
Lebanon,38.42,40.076,44.231,46.867,48.296,49.974,51.239,53.394,56.409
Lesotho,2.525,2.779,2.655,2.506,2.647,2.351,2.442,2.733,2.762
Liberia,1.998,2.398,2.721,3.065,3.137,3.163,3.277,3.284,3.249
Libya,68.974,31.999,79.759,51.896,24.262,17.194,18.539,30.565,43.587
